1.31|---|85000
1.3130303031|a2|丨;丨
1.3130303032|d2|巛;一
1.3130303033|d2|白;干
1.3130303034|d2|山;亼
1.3130303035|a2|名;勿
1.3130303036|d2|止;刀
1.3130303037|d2|父;羊
1.3130303038|a2|禾;血
1.3130303039|d2|丸;虫
1.3130303130|d2|風;流
1.3130303131|a2|禾;豕
1.3130303132|d2|山;37306
1.3130303133|w|㇗;㇆
1.3130303134|w|⺀;一
1.3130303135|rrefr|60782
1.3130303136|w|匸;㇈
1.3130303137|w|一;10018
1.3130303138|rrefl|㇉
1.3130303139|w|𠂎;丶
1.3130303230|a3|月;女;刃
1.3130303232|w|𠂊;99999
1.3130303233|w|𠂊;99716
1.3130303234|d2|乂;一
1.3130303235|d2|山;币
1.3130303236|a2|忄;卩
1.3130303237|d2|車;灬
1.3130303238|d2|从;山
1.3130303330|d2|山;系
1.3130303331|a2|丰;丰
1.3130303332|d2|彡;39190
1.3130303333|d2|47369;灬
1.3130303334|d3|覀;厸;灬
1.3130303336|d2|犬;甲
1.3130303337|a2|户;辛
1.3130303338|d4|士;冖;一;口
1.3130303339|a2|牜;丁
1.3130303430|w|⺮;戈
1.3130303431|w|タ;丶
1.3130303433|w|非;㇒
1.3130303434|d3|彡;⺹;日
1.3130303435|d2|口;99901
1.3130303436|d2|𠂉;40076
1.3130303437|d2|共;方
1.3130303438|d4|士;冖;一;弓
1.3130303530|d2|𠂉;畨
1.3130303531|d2|氺;年
1.3130303532|d4|士;冖;一;木
1.3130303533|a3|月;爻;月
1.3130303534|d2|10041;寸
1.3130303535|d2|彡;犬
1.3130303536|d2|𠂉;瓜
1.3130303537|d2|工;亏
1.3130303538|d3|士;冖;几
1.3130303539|stl|尸;己
1.3130303630|d3|27279;匕;日
1.3130303631|d2|タ;寸
1.3130303632|d2|𠂉;目
1.3130303633|d2|秝;业
1.3130303634|d2|止;丗
1.3130303635|d4|士;冖;一;几
1.3130303636|s|囗;炎
1.3130303637|a2|丿;丨
1.3130303638|d2|𠂉;62788
1.3130303639|d2|至;黑
1.3130303730|d3|士;冖;车
1.3130303731|stl|厂;初
1.3130303732|d3|火;炏;木
1.3130303733|d4|士;冖;一;王
1.3130303734|a2|彡;土
1.3130303735|d2|𠂉;同
1.3130303736|d2|氺;两
1.3130303737|d4|士;冖;一;目
1.3130303738|a2|月;要
1.3130303832|sbl|又;几
1.3130303833|d2|59278;出
1.3130303834|d3|一;口;心
1.3130303835|d2|廿;日
1.3130303836|d4|士;冖;一;禾
1.3130303837|a2|禾;成
1.3130303838|a2|米;成
1.3130303839|d2|咅;比
1.3130303930|d2|咅;儿
1.3130303931|a2|兔;兔
1.3130303932|d2|二;56379
1.3130303933|d4|士;冖;一;米
1.3130303934|a2|矛;勿
1.3130303937|d2|ム;水
1.3130303938|d2|𠂉;可
1.3130303939|d2|氺;⼗
1.3130313030|d3|士;冖;系
1.3130313031|d2|一;26827
1.3130313032|d2|㇆;工
1.3130313033|d2|宀;厶
1.3130313034|d2|田;厶
1.3130313232|d2|艹;60154
1.3130313233|d2|𠂉;47310
1.3130313234|d2|氺;云
1.3130313235|d3|⺺;八;止
1.3130313236|d2|二;99751
1.3130313237|d2|句;灬
1.3130313238|d4|士;冖;一;角
1.3130313239|a2|甬;甬
1.3130313330|w|爿;广
1.3130313532|d2|𠂉;軍
1.3130313533|d2|秝;日
1.3130313534|d4|士;冖;一;豕
1.3130313535|a2|王;巨
1.3130313536|st|冂;虫
1.3130313537|d2|二;贝
1.3130313538|a2|土;虫
1.3130313539|w|日;丿
